372	234	5	876869387
724	294	4	883757726
749	633	4	878848764
416	1041	3	886319408
774	423	1	888556634
343	475	5	876402668
830	402	4	892503093
637	275	3	882903191
354	508	3	891216607
466	748	2	890283592
842	1105	2	891218353
262	699	5	879793022
447	535	4	878854954
280	132	4	891701090
580	687	3	884124583
118	201	5	875385198
200	924	5	876042368
504	212	4	887909911
639	61	3	891239790
177	307	4	882141842
395	151	3	883765297
256	21	4	882163677
620	595	5	889987792
235	175	4	889654971
707	287	4	880059774
186	294	3	879024099
533	8	3	879191938
342	194	3	875318858
450	134	3	882373597
542	204	3	886532762
138	603	4	879024184
454	174	4	888266643
487	596	5	883441956
363	317	5	891495596
223	28	4	891550684
85	340	3	893109920
341	876	4	890757886
295	91	5	879519556
263	64	5	891298453
560	476	2	879977124
551	210	4	892777787
318	655	4	884496290
451	872	2	879012857
125	746	3	879455018
311	528	4	884364724
299	129	4	877877733
429	183	4	882385489
144	651	4	888105197
87	161	5	879875893
267	77	3	878972650
622	194	4	882669762
85	246	4	881704999
130	427	5	875217033
13	88	4	882141485
653	161	4	878854247
267	228	5	878972434
541	596	4	884645816
334	82	4	891547083
291	17	4	874834850
269	498	4	891448926
246	841	1	884923829
409	1593	4	881108971
454	486	3	881960385
633	94	4	877211684
565	1018	5	891037862
796	1269	5	892662765
106	70	3	881452355
198	187	4	884207239
561	432	5	885807776
417	181	3	879646286
298	211	5	884125093
385	961	4	879446868
59	588	2	888204389
13	483	5	882139774
753	22	4	891401798
543	513	4	874863035
405	1560	1	885549635
727	369	2	883709948
665	926	3	884291376
437	946	3	881002092
289	1	3	876789736
487	549	4	884046879
761	275	4	876190130
806	196	5	882388437
178	131	4	882827947
655	132	3	887565138
312	524	5	891699345
706	237	4	880997482
160	237	3	876768609
504	186	3	887840637
804	168	5	879442377
145	237	5	875270570
269	771	1	891451754
727	559	2	883712282
644	289	1	889076364
412	276	5	879717572
768	100	5	883835026
260	288	3	890618476
480	661	4	891208327
144	294	4	888103573
393	210	4	887747108
488	510	4	891294854
299	408	4	877877847
292	169	5	881105625
618	521	2	891307784
593	5	4	875671525
366	637	5	888858078
515	292	3	887659805
644	748	4	889076222
535	655	4	879618385
249	161	3	879572760
406	281	3	879540296
699	413	3	884152706
542	367	4	886532881
659	805	5	891383561
333	316	5	891044659
562	132	4	879195721
496	96	4	876065881
280	465	3	891701148
244	72	4	880607365
551	715	1	892785128
585	70	5	891286256
661	86	4	876035679
201	379	3	884114813
5	450	1	875635962
840	628	4	891209285
330	969	5	876546409
479	70	4	879461630
642	385	5	885602571
536	176	3	882359726
65	255	3	879217406
620	565	4	889987682
303	738	2	879544276
370	302	5	879434182
230	199	3	880484755
474	126	4	887915366
250	111	4	878091915
711	200	4	879993918
843	154	3	879446281
249	478	4	879572911
82	174	5	878769478
553	655	4	879949289
188	174	5	875072741
503	181	5	879438319
347	144	5	881654186
592	97	4	882956718
650	96	4	891369479
346	578	2	874950463
243	151	3	879987397
433	194	5	880585759
386	127	5	877654961
536	570	3	882361162
488	239	4	891294976
75	820	3	884050979
586	181	4	884057344
199	405	2	883783005
429	85	4	882387234
320	66	4	884751034
532	205	5	887788806
387	593	3	886480483
327	886	2	887737493
407	288	4	890687293
655	88	2	890887261
758	96	5	881976985
502	301	1	883702370
214	249	3	891543256
95	386	2	880572356
472	56	5	875979853
521	231	2	885254307
682	27	3	888518104
239	836	5	889180888
313	1	4	891013436
545	413	4	879899977
87	230	5	879875818
484	176	4	891195298
263	132	5	891298392
1	134	4	875073067
293	122	3	888905399
514	183	3	875462645
430	1375	4	877225660
406	709	5	880131642
365	473	4	891304106
537	749	2	886028544
151	614	4	879528729
90	287	4	891384611
620	225	3	889988281
311	98	5	884364502
329	705	3	891656347
727	22	4	883710236
264	1009	4	886124417
269	195	3	891449099
708	1040	2	877326037
59	125	3	888203658
94	183	5	891720921
5	383	3	875636588
347	660	2	881654186
174	951	1	886515551
305	189	5	886323303
343	950	3	876403121
104	13	3	888465634
442	313	3	883387916
532	252	4	888636478
833	52	3	878078390
589	332	4	883352536
702	450	1	885767775
386	685	4	877655085
232	175	5	888549815
620	243	3	889986676
246	99	3	884922657
48	183	5	879434608
429	3	2	882386785
754	284	3	879451775
82	661	4	878769703
239	1204	4	889178986
741	427	5	891018221
303	38	1	879484981
262	140	2	879794635
174	138	1	891551778
629	284	4	880117719
404	687	3	883790465
268	222	4	875742275
200	931	3	891825627
85	258	4	882812472
651	306	5	880126473
545	743	3	879901322
536	487	4	882359813
839	1048	1	875752990
70	568	3	884149722
593	140	4	875671226
508	91	4	883767246
92	531	4	875653121
316	582	5	880854539
455	716	3	879112259
731	28	4	886182826
748	216	4	879454998
648	238	3	882213535
837	950	2	875722169
268	1016	3	875742470
314	405	4	877886522
113	975	5	875936424
506	494	5	878044851
828	1672	2	891037722
314	794	4	877888952
561	642	3	885809356
234	156	2	892078936
201	96	4	884112352
533	187	4	879438811
109	173	5	880572786
394	29	3	881058201
346	742	4	874948513
551	77	3	892784130
835	628	3	891032930
378	216	4	880055268
280	1047	3	891701897
301	871	4	882075148
200	286	4	884125953
504	364	2	887912382
174	67	1	886515130
60	178	5	883326399
437	286	2	880139482
247	736	5	893097024
21	219	5	874951797
301	323	4	882075110
557	197	5	881179653
466	455	3	890285113
393	42	4	889554976
347	99	3	881654591
829	189	4	891992008
554	222	4	876231802
586	85	3	884067003
279	709	4	875310195
244	1098	5	880605578
813	263	3	883752606
313	505	5	891014524
379	286	4	880524329
354	513	5	891217782
308	131	4	887739383
561	157	4	885808053
793	129	4	875104067
64	232	2	889740154
534	456	5	877808300
407	393	2	876344736
115	772	4	881171273
314	996	4	877891354
405	421	1	885549309
286	16	3	876521809
351	258	5	879481386
788	423	5	880868235
302	294	1	879436911
389	602	4	879991081
191	332	2	891562090
709	98	4	879846648
305	285	5	886322930
648	193	4	884628607
637	118	1	882904961
498	754	2	881962988
405	1046	2	885548633
450	462	4	882396928
567	615	4	882425932
387	444	4	886481800
174	100	5	886433788
608	44	4	880406469
11	735	3	891904300
222	1284	4	878184422
